_resourceid,_projectid,vendorid,vendor_name,project_resource_type,item_name,item_number,item_unit_price,item_quantity
"""ff04b9ee3a381a9d7b452e362f29b26f""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"blank CD's","GBCDR8050","15.95","1"
"""ef270fdf797c77beb05c13495792f122""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"blank DVD's","GBDVDMR47100","109.96","1"
"""73154cca41f6a5572cdab2984ff7f4e1""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"CD/DVD burner
DRU-510 Internal 4X DVD Burner (DVD-R/RW, DVD+R/RW, CD-R/RW)","SODRU510 
","349.95","1"
"""86ec03297b3658d1b380fb639da183de""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"camera battery","Sony MPFM50","49.95","1"
"""f021253ed89c4e79e532320a81e3c6f0""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"DVM-60EXM 60 Minutes Excellence with Memory Chip Mini","Mfr #: DVM60EXML 
B&amp;H: SODVM60EXM","12.99","20"
"""c805e553df8c74a8973bfec52c9dc1e2""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"Mini-DV tape","Sony DVM60PR","4.49","40"
"""86ebc97c7212baf097f3d4f6926b8584""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"camera battery","JVC/GR-DVL805U","59.95","1"
"""b9a82fa026744d9aeeebd0571a1389b8""","""0af83109a29611e44b938c0a0d7fd879""",,,Technology,"Canopus Digital Converter
ADVC-100 Analog to DV and DV to Analog Media Converter with Locked Audio - Mac/Win","ADVC-100
Mfr Catalog # 77010072100 Â• B&amp;H Catalog # CAADVC100","299","1"
"""db2a567af30a82fd7525c946c76636d8""","""d742ed33103ad219b2932c72146fb736""",,,Supplies,"Grammar Games Library","LC2837","72.5","1"
"""7aff362e809c73d21cf7c942f3914e0d""","""a09925c883a884e6289c27a6ce5f792e""",,,Books,,,,"32"
"""bee9a61f32df75b0542c23c690a6d402""","""3c84504c06772e644be499b8dfefccd8""",,,Books,"Scholastic 100 Vocabulary Words Kids Need To Know By 4th Grade","0439566762","11.65","26"
"""9299b6c332d1e95f2fb1220781b5bb08""","""bd1d40eab88ee070395f154de29a7cc2""",,,Supplies,"NC INTERMEDIATE KIT","BD-NCIM","287.25","1"
"""79f5727f11fbe17bc807260f1493ca3f""","""24bae63f8cc3ff13262e4ea4cecbacc5""",,,Supplies,"MacGill Brand Dental Floss","1415P","0.45","100"
"""39cf2d384e2848fd58cb8ddeb4e41088""","""24bae63f8cc3ff13262e4ea4cecbacc5""",,,Supplies,"Fresh and Fun Teeth--book","298743","8.75","1"
"""ab6ec5aba83708eea45904666ede362d""","""24bae63f8cc3ff13262e4ea4cecbacc5""",,,Supplies,"Make Way for Tooth Decay--book","298739","3.4","1"
"""30221261f159fadf5e39f96b7872f86a""","""24bae63f8cc3ff13262e4ea4cecbacc5""",,,Supplies,"Look Mom-No Cavities--book","298441","15.95","1"
"""6ddca40190dc0a5044506020ccddf161""","""24bae63f8cc3ff13262e4ea4cecbacc5""",,,Supplies,"Look! My Tooth is Loose--book","298924","6.8","1"
"""30e26f4425efa79250f2298d6cd657d6""","""24bae63f8cc3ff13262e4ea4cecbacc5""",,,Supplies,"2 minute sparkle timers","42205","0.3","100"
"""f186ca9a5df382accc78b0c474099fde""","""24bae63f8cc3ff13262e4ea4cecbacc5""",,,Supplies,"My Tooth is Loose--book","298923","3.9","1"
